,BRK-A_open,BRK-A_high,BRK-A_low,BRK-A_close,BRK-A_volume
2023-04-18,492571.0200,505949.4400,492571.0200,496200.0000,4982
2023-04-17,485731.0200,503734.9800,485731.0200,497900.0000,6724
2023-04-14,493919.9950,500000.5000,489776.0100,496000.0000,5815
2023-04-13,483903.5000,500000.0000,481321.0000,490760.0000,5510
2023-04-12,484184.0000,486979.9988,482018.0000,483500.0000,5142
2023-04-11,476617.9900,483719.9988,474227.0000,480800.0000,4744
2023-04-10,474803.5050,485000.0000,471706.0100,476500.0000,7207
2023-04-06,473479.4488,478580.9888,467601.0100,478005.0000,5095
2023-04-05,467139.7300,472000.0000,464694.0200,471500.0000,5097
2023-04-04,472052.5488,472052.5500,464855.0000,467660.0000,4345
2023-04-03,468874.9988,471770.0000,465570.0000,469760.0000,6533
2023-03-31,462416.0000,466804.9950,461434.0100,465600.0000,4392
2023-03-30,468029.4588,468029.4600,457562.4500,461780.0000,4249
2023-03-29,461814.2300,463604.4600,459979.0100,462100.0000,4010
2023-03-28,458031.0000,459442.9988,456117.4400,459000.0000,3899
2023-03-27,456216.4950,460930.6088,453852.4000,457820.0000,5538
2023-03-24,448611.9950,455820.0000,445885.7900,453066.1100,4488
2023-03-23,457527.3900,459923.7800,449950.0000,452750.0000,4346
2023-03-22,461084.7300,465551.8188,454712.4950,455660.0000,4188
2023-03-21,462470.9550,463854.4600,458600.2100,460515.0300,4486
2023-03-20,446749.2300,456839.9988,444894.0000,455917.4400,6047
2023-03-17,453738.4550,455607.5500,442363.4950,442765.0000,5263
2023-03-16,447520.0000,458757.5000,445695.0000,455350.0000,5114
2023-03-15,455001.0000,456729.4600,446275.1200,448671.0100,5182
2023-03-14,464927.5588,465669.6188,457000.0000,461804.9800,4085
2023-03-13,457112.2250,464054.9988,455250.0000,458050.0000,6042
2023-03-10,460774.9488,464750.0000,457232.0000,460462.0000,4537
2023-03-09,471003.7250,474833.8600,460924.4400,461030.0000,4167
2023-03-08,471518.2150,474129.4300,468800.0000,472002.0000,4025
2023-03-07,479733.2450,481824.4400,470255.1200,471500.0000,4412
2023-03-06,476182.0000,480944.9988,472486.0300,480215.0000,6258
2023-03-03,469297.5050,473427.4600,467448.3400,473256.1100,4528
2023-03-02,461964.4588,467007.1488,457179.4400,466790.0100,3994
2023-03-01,460829.0100,463617.7388,458442.2500,462435.0200,4214
2023-02-28,462523.5000,464529.9900,459970.0000,463525.0000,4046
2023-02-27,462910.0100,463950.0000,458090.0100,461912.2300,6501
2023-02-24,456299.9900,464012.7488,454955.0000,461705.0100,4640
2023-02-23,463104.5100,463830.0000,455627.4900,459375.0000,4087
2023-02-22,459152.4900,463634.5800,457927.2500,460012.4100,4088
2023-02-21,464946.5050,466574.9888,455290.0000,458495.0000,6410
2023-02-17,473103.9600,473103.9600,462481.8100,467372.7400,4014
2023-02-16,466586.1500,470624.8288,465037.3000,467294.9800,3793
2023-02-15,473090.9700,473090.9700,467800.0000,469045.0000,4328
2023-02-14,478386.9988,478387.0000,470145.0100,472500.0000,3893
2023-02-13,469036.0300,477978.9700,469036.0300,476500.0000,5473
2023-02-10,466217.2200,472499.8988,463631.9400,472250.0000,4101
2023-02-09,470093.9900,472222.2200,466020.0000,466020.0000,3742
2023-02-08,471619.5000,475124.9588,467125.0000,467999.0000,3996
2023-02-07,467394.4600,475499.9900,463820.0100,474555.0000,4101
2023-02-06,465407.1250,467096.0000,462433.7700,467000.0000,5014
2023-02-03,471302.9900,471795.0000,462757.3000,466754.9800,4601
2023-02-02,473851.5000,474898.0000,467055.0000,472115.0000,4593
2023-02-01,469922.5000,473689.9988,464527.4950,470605.9950,4420
2023-01-31,467724.4588,472999.9000,463085.0000,472999.9000,3909
2023-01-30,466790.2350,469539.9888,464932.2500,465039.9800,5256
2023-01-27,468410.2400,472885.0000,466576.0100,470000.0000,4191
2023-01-26,474037.0000,475336.0000,468468.6900,469960.0000,3874
2023-01-25,468227.7500,472799.9988,464975.0000,471657.4950,3772
2023-01-24,465721.0100,473445.0000,465720.0100,470999.9900,3538
2023-01-23,471129.4588,473025.0000,464929.0100,469600.0000,5280
2023-01-20,463913.8750,469754.9900,460635.0000,469645.0000,3829
2023-01-19,462497.5000,465064.9900,460233.0000,461949.9900,3632
2023-01-18,477496.5100,479229.4600,465831.3750,466259.9800,4122
2023-01-17,481590.0000,483992.7488,475695.0300,476000.0000,5659
2023-01-13,482429.9988,482430.0000,478000.0000,481021.0000,3858
2023-01-12,486177.0050,488688.0000,480600.0000,482860.0000,3778
2023-01-11,482167.0050,484896.9900,478730.0000,483990.0000,3606
2023-01-10,476223.6250,479698.4288,474511.8700,479420.0000,3484
2023-01-09,483574.7300,487989.1300,476653.3400,478384.9000,5500
2023-01-06,475989.7400,484150.5488,473300.0200,481955.0000,3880
2023-01-05,481228.9900,481228.9900,469227.5250,473660.0000,3430
2023-01-04,477478.9988,479897.1388,470151.0100,476259.9000,3722
2023-01-03,472949.9988,473989.9800,465019.8000,469525.0000,5256
2022-12-30,469317.0000,469317.0000,462800.0000,468710.9600,3357
2022-12-29,462714.5000,470000.0000,460730.0000,468725.0100,3040
2022-12-28,464999.9888,465234.9488,445251.0000,459800.0000,3030
2022-12-27,475794.5400,476154.5400,461000.0000,461954.9900,4470
2022-12-23,458596.0050,463510.0000,455892.0000,463400.0000,2803
2022-12-22,465427.0000,469809.7700,450709.0000,458700.0000,3219
2022-12-21,463000.0000,469219.9988,459151.0100,467599.9000,3037
2022-12-20,457048.9900,460697.7388,446545.1100,457400.0000,2736
2022-12-19,456494.0000,457243.9900,450245.0000,455280.0000,3814
2022-12-16,453162.7488,457889.9888,450050.0000,454620.0000,2990
2022-12-15,464249.4588,464249.4600,452974.7250,457460.0000,3376
